iso3,physicians_per_1000,nurses_midwives_per_1000,hospital_beds_per_1000,current_health_expenditure_per_capita_ppp,domestic_gov_health_expenditure_gdp,out_of_pocket_expenditure_share,uhc_service_coverage_index,measles_immunization_coverage,dpt_immunization_coverage,age65_share,population_density,life_expectancy,under5_mortality,adult_mortality_female,adult_mortality_male
AFG,0.2672,0.22825,0.418,303.3299629878412,0.5630776040000001,76.57611999399998,40.2,62.6,65.4,2.363040661163984,54.833562086993865,62.5412,67.17999999999999,203.8438,306.5748
AGO,0.211,0.401,0.75,189.1318024853448,1.051111388,34.448706056,41.4,52.6,61.0,2.692510688591244,24.263815512954203,62.0912,58.220000000000006,211.4318,296.9076
ALB,1.645,5.081,2.83,854.5451614069661,2.800098374,56.77315216200001,64.2,95.6,99.0,13.35126606149748,96.67577372262774,78.9212,9.4,51.0408,101.604
AND,4.1716,4.5446,5.685088432724942,3828.911402105744,5.10121422,12.556494714,72.6,98.0,98.4,13.29080476250248,157.3421276595744,84.34400000000001,3.2400000000000007,26.544400000000003,40.77459999999999
ARE,2.5272,5.7562,1.5419999999999998,2851.5307130228985,2.401090862,14.025119208,82.2,99.0,98.6,1.4995639689582738,128.00913263869342,82.3408,6.98,20.4608,41.2162
ARG,5.103,3.6514,4.452,2265.61846766644,6.478829383999999,24.069470978,80.0,89.8,88.6,11.32073029128272,16.17242479053164,76.573,11.06,84.32860000000001,138.07819999999998
ARM,2.9256,4.8224,4.215999999999999,1284.98870994113,1.453285028,83.139109802,70.6,96.0,93.2,11.44857523942994,104.72637864418698,75.35951219512197,13.36,64.6306,187.8924
ATG,2.917,5.7214,3.56,1073.437939945246,2.725624514,25.108844376,81.2,94.2,96.0,8.791042686799026,205.5163636363638,77.03800000000001,10.66,88.3046,130.6624
AUS,3.6466,12.59,3.82,5133.271577619731,7.277379607999999,16.272499848000002,89.0,94.4,94.4,15.404783741065478,3.196239923828534,82.59951219512195,3.82,44.0296,76.20720000000001
AUT,5.1988,7.7928,7.358,5777.64986317677,7.695861816000002,19.610547636,82.2,95.2,88.6,18.65489967314494,106.3920843431894,81.61268292682928,3.58,43.041,79.796
AZE,3.2342,5.9064,4.024,626.3160881824602,1.086618732,71.14688568400001,65.0,80.0,76.2,6.175603796551298,119.1021540826876,72.7834,25.2,80.845,174.3542
BDI,0.078,0.7077500000000001,1.902816609951983,56.61571514932818,2.20084076,27.581483458,47.4,91.2,92.4,2.3141242980470964,451.00136292834907,61.2454,61.24000000000001,247.6744,308.2288
BEL,3.3144,11.956,5.688000000000001,5557.231194709002,8.262949182,19.496022032,86.0,96.0,98.0,18.588747632510938,374.3526348061512,81.5029268292683,4.02,50.188,83.374
BEN,0.0593333333333333,0.4283333333333334,0.422,95.9249239405121,0.626816708,50.572852326,31.8,63.8,74.8,3.031693533779416,106.7903600567574,59.5064,91.66,256.9892,289.1692
BFA,0.076,0.758,0.9763551584150031,109.25091865483871,2.178466394,33.938849641999994,40.2,88.0,91.0,2.568692395055972,72.66592836257311,59.537,94.28,229.6808,298.4538
BGD,0.5406,0.3532,0.8320000000000001,115.29955844615748,0.442652208,72.282450866,47.0,97.0,98.0,5.27088624179397,1245.782309287854,71.5942,35.2,122.901,172.6742
BGR,4.157,4.822799999999999,7.454000000000001,1647.3013671486838,4.161093044,41.016494754,70.6,93.2,92.0,20.86122715769288,62.65540899042004,74.86341463414638,7.38,85.5222,184.5568
BHR,0.7866000000000002,2.2374,1.836,2170.250086538614,2.579804182,29.172048188,77.6,99.0,98.4,2.7030252221526,1869.5449483775417,80.407,7.7,52.833000000000006,65.7864
BHS,1.895,4.484,2.845,1947.334521626212,2.85772953,27.968880844,80.4,89.0,92.4,10.51619447536844,38.98657342657342,73.4696,15.86,133.9036,217.617
BIH,2.2914000000000003,5.958,2.378,1252.061213132206,6.26288414,29.040006638,63.4,73.4,77.6,18.39718745741784,67.00296484375001,77.3836,6.760000000000001,63.6724,124.756
BLR,4.417199999999999,10.922,10.034,1122.202240995744,3.97710929,28.22205925,79.0,98.0,97.8,14.8149577237318,46.55437027716901,73.99658536585369,3.62,80.67275,234.84375
BLZ,1.086,2.1586000000000003,1.0,455.0195846943624,3.265745304,22.93015747,68.8,94.8,94.2,4.210185258248094,16.3112231477422,72.09020000000001,14.48,117.4984,216.427
BOL,1.2243333333333333,1.303,1.242,551.9540450625002,4.575619412,25.305090334,64.0,88.0,83.6,5.63245733066936,10.47153438567342,67.5304,23.54,157.8508,235.6916
BRA,2.351,8.6416,2.336,1404.012298171556,3.912275552000001,24.66020126,83.0,92.2,85.0,8.603591751085983,24.4829546047326,75.40239999999999,15.679999999999998,86.0648,178.37980000000002
BRB,2.541,4.708,5.970000000000001,1084.23230019185,2.720850468,45.52269211,82.6,91.4,93.8,13.56348517028464,651.4776744186044,76.26660000000001,12.1,87.76879999999998,138.4266
BRN,1.697,6.3365,3.316,1492.478320582296,2.247566078,5.143405058,83.2,97.4,99.0,4.700542545932377,82.08872865275143,74.9538,10.64,99.7384,143.1634
BTN,0.3612000000000001,1.6469999999999998,1.786,362.474935526153,2.4438018300000004,16.837010764000002,64.8,97.0,97.8,5.805418828375354,19.757164988792283,71.409,25.86,116.6716,157.02659999999997
BWA,0.3893333333333333,3.5436666666666667,2.538,953.7997620580834,4.300810814,3.89605112,59.0,97.0,95.0,3.7090000675488417,4.00050112046301,65.2986,43.02,228.6072,298.0024
CAF,0.069,0.245,1.108370182658121,64.63315796861971,0.658326768,52.526628874,31.6,41.6,41.0,2.0867949816820044,7.692013868824037,46.3982,154.11999999999998,432.8012000000001,601.7866
CAN,2.4577,9.935000000000002,2.548,5219.948198832652,7.650900268000001,15.426996234,91.6,89.6,91.0,16.763611293131117,4.0834231991425,81.90717073170734,5.24,50.979,83.7754
CHE,4.286,17.595999999999997,4.658,7760.435881425717,3.766764642000001,21.744583894000005,86.0,94.6,96.0,18.21963024843944,213.6039098519908,83.54195121951223,4.14,34.800799999999995,58.58
CHL,2.4099999999999997,3.2090000000000005,2.08,2154.842939932082,4.460403252000001,33.52078857400001,80.8,94.0,95.0,11.79947133848748,25.04834235799696,80.3592,7.5,59.734,105.268
CHN,2.013,2.7048,4.322,759.6167406897324,2.876403332,35.605274200000004,80.6,99.0,99.0,11.020551243790718,148.5772016821534,77.4146,9.32,59.6496,115.7744
CIV,0.149,0.5206000000000001,1.3931959742243978,154.6744908717008,0.8904117360000001,39.672557068,45.2,71.0,82.2,2.4941271870846338,84.04169874213838,59.2958,80.44,308.7348,352.95200000000006
CMR,0.131,0.369,2.65,146.63052849464,0.32583702,74.02660369999998,46.4,66.4,72.6,2.8093680350799906,51.04975735651878,60.7362,82.2,242.2228,314.88719999999995
COD,0.162,0.8736,0.4458106166743064,38.1912397209596,0.5194075180000001,38.99018936,39.6,64.4,71.0,3.107336506278512,38.38207626651376,59.48040000000001,91.76,248.7786,306.17999999999995
COG,0.099,0.8570000000000001,1.2168227680404313,110.50837162387444,0.959054482,42.947310638,40.6,73.0,74.8,2.688037625395041,15.67842284040996,63.88,50.56,244.6208,295.8132
COL,2.1664000000000003,1.3062,1.718,1121.1307108885765,5.38925085,15.234981728000005,80.8,94.0,92.0,7.650772991222899,43.5278918431726,76.417,14.5,73.9884,138.9398
COM,0.285,1.507,2.365992011140518,157.864223825408,0.6627919259999999,67.834329224,49.6,76.6,77.8,4.390396012632422,406.583557227297,65.09100000000001,46.86,184.9772,244.612
CPV,0.7173999999999999,1.4156,2.116,354.0001713800114,2.9123786440000003,28.505679322,66.2,95.6,95.8,5.474937603602696,127.3131513647642,74.689,16.439999999999998,70.3158,180.3318
CRI,2.0982,2.7806,1.14,1488.83115659461,5.315308478,22.159712982,83.4,94.2,94.8,9.416312934551884,96.18325107716412,80.155,8.98,59.2002,115.9708
CUB,8.235000000000001,7.829249999999999,4.158,2814.507802940234,10.480729674,10.526533700000002,84.6,99.0,99.0,14.77269001341298,108.2080721509762,77.491,6.459999999999999,75.763,131.6008
