iso3,country,region,income_group,feature_missing_count,feature_missing_rate,primary_sample,extended_sample
ABW,Aruba,Latin America & Caribbean ,High income,10,0.6666666666666666,False,False
AFG,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",Low income,0,0.0,True,True
AGO,Angola,Sub-Saharan Africa ,Lower middle income,0,0.0,True,True
ALB,Albania,Europe & Central Asia,Upper middle income,0,0.0,True,True
AND,Andorra,Europe & Central Asia,High income,1,0.06666666666666667,True,True
ARE,United Arab Emirates,"Middle East, North Africa, Afghanistan & Pakistan",High income,0,0.0,True,True
ARG,Argentina,Latin America & Caribbean ,Upper middle income,0,0.0,True,True
ARM,Armenia,Europe & Central Asia,Upper middle income,0,0.0,True,True
ASM,American Samoa,East Asia & Pacific,High income,10,0.6666666666666666,False,False
ATG,Antigua and Barbuda,Latin America & Caribbean ,High income,0,0.0,True,True
AUS,Australia,East Asia & Pacific,High income,0,0.0,True,True
AUT,Austria,Europe & Central Asia,High income,0,0.0,True,True
AZE,Azerbaijan,Europe & Central Asia,Upper middle income,0,0.0,True,True
BDI,Burundi,Sub-Saharan Africa ,Low income,1,0.06666666666666667,True,True
BEL,Belgium,Europe & Central Asia,High income,0,0.0,True,True
BEN,Benin,Sub-Saharan Africa ,Lower middle income,0,0.0,True,True
BFA,Burkina Faso,Sub-Saharan Africa ,Low income,1,0.06666666666666667,True,True
BGD,Bangladesh,South Asia,Lower middle income,0,0.0,True,True
BGR,Bulgaria,Europe & Central Asia,High income,0,0.0,True,True
BHR,Bahrain,"Middle East, North Africa, Afghanistan & Pakistan",High income,0,0.0,True,True
BHS,"Bahamas, The",Latin America & Caribbean ,High income,0,0.0,True,True
BIH,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,0,0.0,True,True
BLR,Belarus,Europe & Central Asia,Upper middle income,0,0.0,True,True
BLZ,Belize,Latin America & Caribbean ,Upper middle income,0,0.0,True,True
BMU,Bermuda,North America,High income,10,0.6666666666666666,False,False
BOL,Bolivia,Latin America & Caribbean ,Lower middle income,0,0.0,True,True
BRA,Brazil,Latin America & Caribbean ,Upper middle income,0,0.0,True,True
BRB,Barbados,Latin America & Caribbean ,High income,0,0.0,True,True
BRN,Brunei Darussalam,East Asia & Pacific,High income,0,0.0,True,True
BTN,Bhutan,South Asia,Lower middle income,0,0.0,True,True
BWA,Botswana,Sub-Saharan Africa ,Upper middle income,0,0.0,True,True
CAF,Central African Republic,Sub-Saharan Africa ,Low income,1,0.06666666666666667,True,True
CAN,Canada,North America,High income,0,0.0,True,True
CHE,Switzerland,Europe & Central Asia,High income,0,0.0,True,True
CHI,Channel Islands,Europe & Central Asia,High income,10,0.6666666666666666,False,False
CHL,Chile,Latin America & Caribbean ,High income,0,0.0,True,True
CHN,China,East Asia & Pacific,Upper middle income,0,0.0,True,True
CIV,Cote d'Ivoire,Sub-Saharan Africa ,Lower middle income,1,0.06666666666666667,True,True
CMR,Cameroon,Sub-Saharan Africa ,Lower middle income,0,0.0,True,True
COD,"Congo, Dem. Rep.",Sub-Saharan Africa ,Low income,1,0.06666666666666667,True,True
COG,"Congo, Rep.",Sub-Saharan Africa ,Lower middle income,1,0.06666666666666667,True,True
COL,Colombia,Latin America & Caribbean ,Upper middle income,0,0.0,True,True
COM,Comoros,Sub-Saharan Africa ,Lower middle income,1,0.06666666666666667,True,True
CPV,Cabo Verde,Sub-Saharan Africa ,Upper middle income,0,0.0,True,True
CRI,Costa Rica,Latin America & Caribbean ,High income,0,0.0,True,True
CUB,Cuba,Latin America & Caribbean ,Upper middle income,0,0.0,True,True
CUW,Curacao,Latin America & Caribbean ,High income,10,0.6666666666666666,False,False
CYM,Cayman Islands,Latin America & Caribbean ,High income,9,0.6,False,False
CYP,Cyprus,Europe & Central Asia,High income,0,0.0,True,True
CZE,Czechia,Europe & Central Asia,High income,0,0.0,True,True
DEU,Germany,Europe & Central Asia,High income,0,0.0,True,True
DJI,Djibouti,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,2,0.13333333333333333,True,True
DMA,Dominica,Latin America & Caribbean ,Upper middle income,0,0.0,True,True
DNK,Denmark,Europe & Central Asia,High income,0,0.0,True,True
DOM,Dominican Republic,Latin America & Caribbean ,Upper middle income,0,0.0,True,True
DZA,Algeria,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,0,0.0,True,True
ECU,Ecuador,Latin America & Caribbean ,Upper middle income,0,0.0,True,True
EGY,"Egypt, Arab Rep.","Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,0,0.0,True,True
ERI,Eritrea,Sub-Saharan Africa ,Low income,0,0.0,True,True
ESP,Spain,Europe & Central Asia,High income,0,0.0,True,True
EST,Estonia,Europe & Central Asia,High income,0,0.0,True,True
ETH,Ethiopia,Sub-Saharan Africa ,Not classified,0,0.0,True,True
FIN,Finland,Europe & Central Asia,High income,0,0.0,True,True
FJI,Fiji,East Asia & Pacific,Upper middle income,0,0.0,True,True
FRA,France,Europe & Central Asia,High income,0,0.0,True,True
FRO,Faroe Islands,Europe & Central Asia,High income,10,0.6666666666666666,False,False
FSM,"Micronesia, Fed. Sts.",East Asia & Pacific,Lower middle income,1,0.06666666666666667,True,True
GAB,Gabon,Sub-Saharan Africa ,Upper middle income,1,0.06666666666666667,True,True
GBR,United Kingdom,Europe & Central Asia,High income,0,0.0,True,True
GEO,Georgia,Europe & Central Asia,Upper middle income,0,0.0,True,True
GHA,Ghana,Sub-Saharan Africa ,Lower middle income,0,0.0,True,True
GIB,Gibraltar,Europe & Central Asia,High income,10,0.6666666666666666,False,False
GIN,Guinea,Sub-Saharan Africa ,Lower middle income,1,0.06666666666666667,True,True
GMB,"Gambia, The",Sub-Saharan Africa ,Low income,0,0.0,True,True
GNB,Guinea-Bissau,Sub-Saharan Africa ,Low income,1,0.06666666666666667,True,True
GNQ,Equatorial Guinea,Sub-Saharan Africa ,Upper middle income,1,0.06666666666666667,True,True
GRC,Greece,Europe & Central Asia,High income,0,0.0,True,True
GRD,Grenada,Latin America & Caribbean ,Upper middle income,0,0.0,True,True
GRL,Greenland,Europe & Central Asia,High income,10,0.6666666666666666,False,False
GTM,Guatemala,Latin America & Caribbean ,Upper middle income,0,0.0,True,True
GUM,Guam,East Asia & Pacific,High income,9,0.6,False,False
GUY,Guyana,Latin America & Caribbean ,High income,0,0.0,True,True
